Province,Total Households,Central or local heating system,Electronic heating system,Electronic heating system with others,Coal boiler or Briquette hole in the dwelling unit,Wood hole in the dwelling unit,Others
Ryanggang,183200,35,3178,3015,1892,174687,393
North Hamgyong,587844,646,1593,23406,231201,326498,4500
South Hamgyong,777207,231,3371,5410,295547,452860,19788
Kangwon,367938,28,1212,2857,132433,226308,5100
Jagang,327412,28,2877,4548,68589,251132,238
North Phyongan,688583,210,1629,2630,339126,311479,33509
South Phyongan,1027727,708,3617,1393,838377,181014,2618
North Hwanghae,535511,239,439,1986,223433,299242,10172
South Hwanghae,578280,24,947,3345,165372,396373,12219
Pyongyang,813769,261660,21761,7122,477268,37273,8685
Kaesong (of South Hwanghae),578280,24,947,3345,165372,396373,12219
Kumgangsan (of Kangwon),367938,28,1212,2857,132433,226308,5100
Rason (of North Hamgyong),587844,646,1593,23406,231201,326498,4500
Sinuiju (of North Phyongan),688583,210,1629,2630,339126,311479,33509
